feature,importancia
torres_destruidas,0.27621650205473885
pratos_torre,0.09567287200322382
tempo_morto,0.08343901497734153
dano_objetivos,0.07954393410905489
gpm,0.044111242034536584
pct_dano_time,0.03288607720688489
vantagem_nivel_oponente,0.02983679519634582
ouro,0.027896133572616406
dano_mitigado,0.025710041948817104
cs,0.023101032911685755
dano_campeoes,0.021844307943472665
maior_tempo_vivo,0.021722113201150018
dpm,0.021318090423185308
pct_dano_recebido_time,0.020304211635617558
nivel_final,0.01955893980897297
kp,0.01927441504086348
visao_por_minuto,0.01850531888198465
vantagem_cs_oponente,0.01825750653123904
cs_primeiros_10_min,0.01758294887191515
tempo_cc_aplicado,0.017327444080747042
placar_visao,0.015995726686389745
skillshots_desviados,0.014832298850927272
wards_colocadas,0.012083859824104527
skillshots_acertados,0.011425038224945583
dragoes_abatidos,0.009649847217657383
killing_sprees,0.009066205839350626
solo_kills,0.0064406751344463845
wards_controle_colocadas,0.005515939575165419
first_blood_kill,0.000881466212619574
